businessName,DBAName,Address,CITY,STATE,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,licenseadddttm,dayphn,Property_ID,Location
Air France Lounge,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,12/31/14 11:30,12016383677,341351,"(0.000000000, 0.000000000)"
Americano Espresso Bar,,155 Meridian,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,2/13/07 8:24,16175938079,94405,"(42.373853000, -71.038885000)"
Angela's Cafe,,131 Lexington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/2/07 13:36,10000000000,85525,"(42.378530000, -71.035000000)"
Angela's Cafe II,,1012 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,3/2/16 11:02,16175695267,162035,"(42.387115000, -71.006309000)"
Asian Too Express,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,4/18/08 13:37,16175617180,,"(0.000000000, 0.000000000)"
Au Bon Pain (Food Court U S Air),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/5/07 9:00,16178975079,,"(0.000000000, 0.000000000)"
Au Bon Pain (Space 49),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/17/08 9:52,16178975079,,"(0.000000000, 0.000000000)"
Au Bon Pain (US Airways),,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,5/21/07 13:20,16178975079,,"(0.000000000, 0.000000000)"
Auntie Anne's (Trmnl A  Gate A 18),,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/9/11 9:03,16176246006,341353,"(0.000000000, 0.000000000)"
Bar Medallo,,411 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,3/23/11 15:26,16175672727,30551,"(42.379899000, -71.026814000)"
BARNEY'S GRILL,,299 Havre,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175677170,156023,"(42.376526000, -71.033798000)"
